"label,""tweet"""
"negative,""Ya allah kemarin banget ini aku order pake traveloka eat. Tapi promonya ga ke redem. Pas udan sampe liat kok kepotong 51 rb. Aku seketika lemes wkwkw. MAKAN SIAANG SEMAHAL ITUU????"""
"negative,""@traveloka sistem eat masih parah. Voucher tidak bisa issued tiba-tiba sudah sukses saja pembayaran pakai cc. Telpon cs minta waktu, keburu lapar bro! Kalau sistem belum mature, harus segera gercep. Bukan malah lambat"""
"negative,""Pesen @traveloka eat sering dibatalkan....proses refundnya pun sulit...baru kemaren lapor pesanan dibatalkan,belom selesai masalahnya eeh pagi ini pesan lagi daaan dibatalkan lagi.."""
"positive,""Beberapa menit setelah niat menabung. Haturnuhun travelokaeat diskon 50%nya wkwk"""
"negative,""aneh bgt pesen di traveloka eat tp yg nelp dari gojek, mana ribet bgt lg drivernya ????"""
"negative,""oh jadi traveloka eat nganternya pake gosend. mahal juga yaa???"""
"negative,""ini coba pesen lagi di cancel2 teruuus, aneh nih traveloka eat"""
"negative,""Payah nih traveloka eat lama bener!"""
"positive,""Pertama kali pake traveloka eat, muraaaah yaaa heheheheh"""
"negative,""Terimakasih untuk responnya. Saat ini saya menunggu pesanan saya dengan no order 749062061. Sudah menunggu 1 hampir 2 jam tidak ada respon. Ini sudah kali kesekian saya mendapatkan layanan buruk dari rekanan driver travelokaeat."""
"negative,""Dear @traveloka mohon dong untuk driver eat sedikit disorot ya. Ini sudah kali ke sekian saya pesan makanan di traveloka eat menunggu 2 jam an tapi driver sama sekali ga bisa dihubungi. Mohon untuk call center juga responsif dan fast response."""
"negative,""@traveloka ini gimana ceritanya dah dibatalin mulu, ga niat bikin traveloka eat??"""
"negative,""Ughh Traveloka Eat's food pun .... is getting oat of hand"""
"negative,""Meski banyak diskon, kelemahan Traveloka Eat adalah pengiriman yang kadang lama hehe.."""
"negative,""@traveloka ber bener dah cs travelokaudah bikin tiket buat minta cancel traveloka eat kaga di respon respon"""
"negative,""Mjb kak, yg travelokaeat blm juga ya kak?:( Aku udh 2 jam lebih gabisa bisa pdhal"""
"negative,""@traveloka min mau complain donk. aku pesen traveloka eat, udah aku upload bukti bayar tapi koq status orderannya batal. aku coba tlp ke customer service tlp sibuk trus. trus mesti complain kemana nih????"""
"positive,""makan siang enak di sponsori diskon gede gedean, terima kasih traveloka eat????"""
"positive,""Coba travelokaeat, mereka lg buang2 duit"""
"positive,""love traveloka food / eat? gue beli salty sam dari 77 jadi 27 jir"""
"positive,""ini promo traveloka eat pengguna baru, ken! lumayan banget discountnya T^T"""
"positive,""traveloka eat pengguna baru! ??"""
"positive,""order aja, re! ini discount traveloka eat buat pengguna baru, lumayan discountnya T^T"""
"positive,""Tukang jajan... kuy pesen via traveloka eat, promo 70% buat pengguna baruuu ??"""
"positive,""yeah ada promo di traveloka eat jajajaja disana gak ada jajaja"""
"positive,""makasih traveloka eat"""
"positive,""Wah traveloka eat goks"""
"positive,""Luberger. Beli pake traveloka eat cobadaa, td aku beli 27 dpt burger sm kentang. Kenyang sampe malem"""
"positive,""Bingung diskon 70% eat traveloka di beliin apa ya"""
"positive,""raveloka eat diskonnya lumayan ya wa"""
"positive,""Prima Freshmart lagi bakar duit di Traveloka Eat nih, tapi kayanya cuman ada di Jakarta aja"""
"negative,""@traveloka Halo min tolong ini gmn ya saya pesan eat delivery malah g di kirim di selesaikan di jlan"""
"positive,""Emang debes traveloka eat, beli topokki ama minum di mujigae cuma abis 15k ??"""
"positive,""Ingin rasanya menghabiskan promo di travelokaeat arggghhhhh"""
"positive,""wow traveloka eat diskonnya hampir setengah harga"""
"negative,""Kenapa travelokaeat ga bisa di buka"""
"negative,""@traveloka mau tanya nih , beli di traveloka eat kok dapet drivernya jauh2 ya ...?? Gmn solusinya ? Makanan saya 1 jam belum dateng2 padahal dr tempat saya ke resto gak ada 1 km ?"""
"negative,""Kemaren dibuat ga masak krn shopeefood. Sekarang travelokaeat lebih ga masuk akal lagi, kan jadi tambah malas masaaak ??"""
"positive,""Makasih travelokaeat tapi tolong ditambahkan meldi dan kiepci krn saya pecinta junkfood"""
"positive,""traveloka eat promonya gede2 hihi"""
"negative,""Ayam yang biasa we pesen di traveloka eat harganya naik dong.Dari 19 rebu ke 22 rebu ??Untung masih ketolong diskon"""
"negative,""@traveloka min saya dari Traveloka eat merchant mau nanya, kok saya ga bisa buat promo mandiri ya? saya mau buat pakai diskon di resto, tapi di kolom cabang yg warna merah itu ga bisa dipencet sama yang paling bawah ga bisa di simpan. tolong balas dm ya min"""
"positive,""di traveloka eat gaada hahaha kita kan memilih yg best deal ????????"""
"negative,""Udh 1 setengah jam courier gak gerak, di telfon jg di reject. Coba hub cust service via telfon yg ada di list ga ad yg jwb. Via chat jg yg jwb bot, katanya akan manggil customer service beneran. Ni dah 20 menit lebih ga ad yg tanggepin. @traveloka #travelokaeat"""
"negative,""Dear @gojekindonesia x @traveloka eat, tolong benerin sistemnya. Hari ini banyak order yang tiba-tiba cancel, pdhl driver udah sampe resto dan makanan sudah disiapkan.Make sense kalo next time resto gak berani nyiapin makanan meski ada orderan masuk, takut kecancel"""
"negative,""I just want to eat and there is no explanation at all regarding technical issues from you? For god sake i hate your services @traveloka"""
"negative,""traveloka eat udh ada chat tp poto abangnya masih gepeng"""
"positive,""Traveloka eat terbaik dehh"""
"negative,""gua mesen traveloka eat tapi ngilang dah pesanannya gamuncul"""
"negative,""Kok kupon travelokaeat ilang :???"""
"positive,""bun cek traveloka eat pake app traveloka, biar jauh freeongkir ?? atau atau cek grab/shopee"""
"positive,""Aku menunggu di traveloka eat aja, biar jauh ttp free ongkir. Klo grabfood, gofood ongkirnya dri Rwmngun ke Kuningan aja 57 ribu ??"""
"positive,""cuma 23 ribu soalnya diskon beli lewat Traveloka eat"""
"positive,""Traveloka eat, 3 kopi 9,5k hhahaha ????"""
"positive,""traveloka eat delivery diskonnya mantapppp"""
"positive,""Promo traveloka eat delivery bikin kalap ??????"""
"positive,""Beli makanan pake traveloka eat diskon 50% maks. 50rb bayar pake Uangku. Free ongkir pulak. 

Selamat jajaaaaan ??"""
"positive,""Pake traveloka eat.. pake ewallet sakuku nya dia .. diskonnya lbh gede.. kalau bayar pake debit/kredit lbh kecilan diskonnya.. plus gratis ongkir.. td beli pepperlunch 76 cuma bayar 38 ??"""
"positive,""diskon eat traveloka ga prnh ngecewainn"""
"positive,""Coba pke travelokaeat prim freeong, gofud sm greb mahal aku jarang bgt dpt vocer jd males haha"""
"negative,""efek kedua siang ini, pesen makan siang di Traveloka eat Booking ID gak tau gimana mungkin double click malah ke cancel terus akhirnya bisa eh tapi gak ada notif yang gimana-gimana"""
"negative,""Masuk order Traveloka Eat
Pas mau konfirmasi posisi restonya eh malah bilang ga kerjasama sama traveloka katanya, kok iso??? 
Cancel deh akhirnya ??
@traveloka @gojekindonesia"""
"positive,""Dan belinya pake traveloka eat krn banyak promooo yeaa hidup promoo ??"""
"negative,""Mimin mau tanya dong, kalo order traveloka eat, nanti yg anter makanannya siapa? Gojek???"""
"positive,""TRAVELOKA EAT KEREN BGT KAMU @traveloka"""
"negative,""Eat deliverynya @traveloka ini asik murah meriah diskonnya. Tapi aplikasinya ribet kak. Mau lacak posisi drivernya jg ribet. Mau komunikasi ke drivernya jg nyambung ke wa. Eh tau?? nomor drivernya gak dipake untuk wa."""
"positive,""Traveloka eat gokill euyy ngasih diskonnya"""
"negative,""@traveloka admin bantu follow up dong, topup ke uang ku ga masuk masuk, udh banyak yg komplen loh di aplikasi mau topup buat travelokaeat ga masuk masuk"""
"positive,""Traveloka eat deh juara. Walopun di cibi belom banyak tenant yg join sih"""
"positive,""Ttp murahnya traveloka eat blm ada yg ngalahin"""
"positive,""Pusing liatin akgae mari mam dulu. Ini harta karun yg aku temuin di traveloka eat semuanya cm 30k dan gakalah dr m*rugame ????"""
"positive,""beli, traveloka eat free ongkir"""
"positive,""Gak tauuu.. wkwkwk w waktu itu juga iseng cobain traveloka eat eh mudah.. mana the moo jadi 30an ????"""
"positive,""Sumpa ya ini traveloka eat racun murehhh bgt, udh gratis ongkir trus diskon 50%, aligg siii bikin kalapp"""
"negative,""@traveloka min gimana caranya pake kupon di traveloka eat? Kenapa slalu gabisa diapply pas mau pembayaran?"""
"negative,""@travelokatolong ini ada bugs kali ya ini. status booking traveloka eat saya ke cancelled sendiri, setelah itu kembali lagi. padahal di apps user/kurir/resto sepertinya tidak ada button cancel booking.

Jadi kasihan kurirnya, saya, dan resto jadi bingung ??"""
"positive,""Team traveloka eat ??"""
"positive,""Iya ada , traveloka eat jg diskonnta lumayan bgt."""
"positive,""Aku baru coba Traveloka Eat, kok ra ono pilihan bayar pakai GoPay ya? Tp lumayan diskonnya yakkk ??"""
"positive,""traveloka eat aja"""
"negative,""Ya allah sedih sekali tapi traveloka eat cuman 42 ribu ya lumayan laaah"""
"positive,""Grabfood 127k
TravelokaEat 41k"""
"positive,""Kalau lapar makan dulu bang,, banyak promo Nasi kulit Dewa di Traveloka Eat"""
"positive,""Yang selalu gue lakuin dan ada yg baru tau tuh traveloka eat ternyata surga bgt mo nangis. Makan lawless cuma 29rb tanpa ongkir ?? masuk surga org2 yg ngasih tau, sama yg buat promo traveloka :???)"""
"negative,""Bukane diskone sopifood wes estek yo. Saiki ganti travelokaeat nder seng diskon"""
"positive,""Sore2 pengen nyemil, inget rekomendasi temen kmrn pake treveloka eat @traveloka, beneran 50% ??"""
"positive,""Eh kok traveloka eat diskonnya gede yak"""
"positive,""Pengalaman pake traveloka eat dan shoppee Food. Gw lebih memilih traveloka eat. Free ongkir ga kaleng2. Diskonnya juga lebih gede."""
"positive,""Traveloka eat sengaja hadir bikin orang males masak. Untuk apa masak? ???????? Promo bun. Makin diomongin sama tetangga. Mantapz"""
"positive,""Honu,loml ?? bahagia banget pesen di traveloka eat yg tadinya 78rb jadi 45rb udah sama ongkir??? kemarin di gr4b hampir 100rb sama ongkir??? ??"""
"positive,""Sumpill leee, myrrr lu pada harus nyoba traveloka eat, diskonnnya gilaa bangetttt bangetan, kek 50% sampe 50-70ribu.. freeongkir jugakk????, bayarnya di alfamart atau ngga trf"""
"positive,""Traveloka eat yg diskonnya lebih banyak ??"""
"positive,""Bru nyobain travelokaeat euy mantep juga promonya"""
"positive,""traveloka kan diskon tuh 50% dari tadi gue scroll traveloka eat , guilty makan terus"""
"positive,""Traveloka eat ini diskonnya gila2an..."""
"positive,""traveloka eat promo nya mantep juga. syopifut minggir dlu"""
"positive,""yang bener aja traveloka eat potongannya 50% kan kalo kaya gini terus w jajan mulu :("""
"positive,""Gw jadi ketularan order lewat Traveloka eat , hahahahaha. Mayan diskon 50%"""
"positive,""aku baru mau nyobain travelokaeat nihhh beneran dong diskonnya nggak boongan :)))))"""
"positive,""@traveloka eat ter dabesstttt ????????"""
"positive,""aku baru tau ada travelokaeat, terus tadi iseng wow mantap diskonnya beneran no tipu-tipu :)))))"""
"positive,""Kalo aku sekarang beralih dulu ke syopifud sama travelokaeat ka lana soalnya bisa diskon sampe 50%"""
"positive,""Ada lagi traveloka eat, masih baru jadi banyak diskon"""
"positive,""Aduuh ini enak banget, aku berkali kali beli Luna's ini krn ada diskonan TravelokaEat hihihi"""
"positive,""Makasih bgt loh traveloka eat disc 50% ????????????"""
"negative,""Traveloka eat bakar duit teruss, mau ngalahin shopefood bau baunya"""
"positive,""Shopeefood sama traveloka eat adalah jalan ninjaku pas ongkir+biaya pengemasan dll grabfood gofood makin mahal ??"""
"positive,""Traveloka eat lah, free delivery ???? gue order bebek kaleyo tebet ke kosan asli cuma bayar makannya aja"""
"positive,""iya bener bener
jadi di aplikasi traveloka ada traveloka eat, biasanya dulu buat promo makan ditempat tapi skrg bikin buat delivery

dan lagi promo, kopi pengguna lama traveloka tapi baru ini pakai traveloka delivery jadi bisa pakai voc 50% sampai 70rb

mayan bangettt"""
"positive,""Traveloka Eat. Kode Kupon ???HOBIJAJAN50???. Sekarang diskon 50% loh hingga 50rb ??"""
"negative,""@traveloka min ini kenapa ya Traveloka eat saya tiap mau lanjut ke pembayaran langsung ada kotak merah ""maaf server error...... Maaf atas ketidaknyamanan anda"""""
"positive,""Pertama kali coba traveloka eat, free delivery juga. Mantapss @traveloka??"""
"positive,""Baru nyoba travel eat promonya lumayan juga @traveloka??"""
"positive,""Aku nge traveloka eat mulu, hahaha. Mad bagel enak, bikin kenyang"""
"positive,""Oke banget, cek traveloka eat kak. Lagi diskon 50%"""
"positive,""Menu di traveloka ada travel eat, masih bakar duit jd promo banyaak"""
"positive,""semua fokus shopeefood padahal promo traveloka eat lebih menawan."""
"negative,""Ini @traveloka gimana dah, order traveloka eat ternyata restonya tutup, ga bisa cancel, sementara driver terus nelponin. Please cancel my order!"""
"positive,""Cobain skalian traveloka eat, lagi diskn 50% maks 50rb ongkir gratis"""
"negative,""Sy udh daftar merchant Traveloka eat blm ada respon nih min, mohon bantuannya"""
"negative,""skrg traveloka eat discount nya dikit :((("""
"positive,""Jajan pake traveloka eat. Self reward murmer??"""
"positive,""Meuli pake traveloka eat gen, mumpung diskon 40% maks 50rb (min beli 35k) ??"""
"positive,""Alhamdulillah makan akhir bulan disponsori oleh Traveloka Eat, banyak merchant yang udah join pula. Diskon 50%nya gaes"""
"positive,""Traveloka eat memang lifesaver disaat tanggal tua tapi pengen makan enak"""
"positive,""coba traveloka eat bith, lagi diskon 50 persen minimal belanja 35rebu aja dan gratis ongkir~"""
"positive,""Live hack mam ena tapi mure. Traveloka eat disc 50% + gratis ongkir ??"""
"negative,""@traveloka ini traveloka eat gimana ya. Sudah tf. Proses verifikasi sekarang gagal.. ini berapa lama ya nunggu problem solvednya?"""
"positive,""Traveloka eat, disc 50% + gratis ongkir. Ayo ayo semuanya aja ayo bakar-bakaran duit! Eug sebagai consumer siap meniqmati ??"""
"positive,""traveloka eat dah lg diskon 50% minimal 35rb. free ongkir. kmrn aku belo fore seliter jd 42rb."""
"negative,""Halo, malam ini saya pesen traveloka eat, driver gabisa dihubungin sejak awal, tiba2 status pesanan udah diterima, padahal makanannya belum diterima, mohon bantuannya min @traveloka"""
"positive,""cinta banget sama travelokaeat ??"""
"positive,""Traveloka eat sekarang juaranya"""
"positive,""Skg banyak promo makanan dr mulai shopeefood sampe traveloka eat. Gue sendiri makan pagi cuma snack, siang paling abis 40rb udah dapet 2porsi makanan yg bisa dimakan malemnya."""
"positive,""Bikin jajan terus, traveloka eat malah discnya 40% yak wkwk"""
"negative,""@traveloka min orderan eat saya udah hampir lima jam kenapa ngga dicancel ya?"""
"negative,""Kemarin pesenan gw ga dateng sedih banget, udah 2x pesen di traveloka eat, trus yang ke 3x abang nya ga dateng padahal udah nyelesein pesanan??"""
"negative,""@traveloka kak untuk orderan traveloka eat booking number 694481155 no tiket 19522519 bagaimana kejelasannya. Bisakah direfund? Katanya respon 15 menit tapi uda sejam ga ada kabarnya? Gimana ini?"""
"positive,""Gara-gara @traveloka Eat ???NUNGGUBEDUG??? diskon 50% sampai dengan 100rb+gratis ongkir aku tuh jajan mulu tiap hari menjelang berbuka ?? tengkiu ????"""
"positive,""Traveloka eat lebih banyak diskon nya, kak"""
"positive,""Jadi traveloka eat nih gila gilaan emg. Kasih diskon 50% max disc 100rb. Beli sushinya kimukatsu 8 menu jadinya cuma 157 rebu +free ongkir. Thanks @traveloka ??"""
"negative,""@traveloka min saya order eat buat buka kemarin kok sampe skrg blom sampe ya, udah mau buka lg ini.."""
"positive,""Jajan di traveloka eat disc.50% wadaaawww hamba beli bapao imperial kitchen kan jadi gapake mikir"""
"positive,""Main main ke another discount apps kak, traveloka eat promonya juga warbiasya"""
"negative,""traveloka eat banyak diskon tp knp yaaaaaaa ga lengkap wkwkwk"""
"positive,""Coba jajan bukaan pake traveloka eat lumayan diskonnya. Free ong pulak, mamak happy??"""
"positive,""Kintan delivery diskon 50% dan free ongkir doong, @traveloka Eat penyelamat musafir ??"""
"positive,""fyi guys untuk kalian nanti yg mau cari makan, make traveloka eat deh karna diskon 50% maks 60rb min belanja 35rb, aku beli bebek 2 paket harusnya 72rb jdi 35rb aja gengs"""
"positive,""Gila gila traveloka eat , saben dino loh iki"""
"positive,""Pake traveloka eat aja, restonya enak2 sekitaran cibubur"""
"positive,""brilliant marketing, traveloka!"""
"positive,""""Thanks @traveloka and @krispykreme"""""
"positive,""Thank you Traveloka Malaysia.

Yes, TAEYONG BEST LEADER ????"""
"positive,""TRAVELOKA BEST AGENCY"""
"positive""the twitter and traveloka app being side by side is sending me"""
"negative,""Who???s still got problem mistaking twitter for traveloka? Like you birds can???t be all blue so come on"""
"negative,""baru kali ini kecewa banget sama traveloka eats, driver yg cancel guenya yg jadi dibikin ribet"""
"negative,""Kecewa banget dengan servicenya Traveloka dalam memberikan solusi untuk Customernya. Sangat tidak tuntas. Bahkan saat sdh memutuskan tdk pake TravelokaPaylater lagi pun masih saja bermasalah @traveloka"""
"positive,""mantep bgt marketing traveloka wgwg"""
"negative,""@traveloka hari ini dangat kecewa dengan agen Travel ini, saya melakukan pemesanan hotel di balikpapan, namun setelah pembayaran, etiket saya tidak muncul, malah saya harus verifikasi pembayaran, sangat kecewa, hampir 2 jam masalah tidak tertangani"""
"positive,""kemaren"" via traveloka dapet hotel mayan enak daerah simpang lima. kasusnya sama nemenin temen maen di tasik wkwk @adtsnd_"""
"negative,""@traveloka sekarang pembayaran pemesanan tiket kereta api ada biaya layanan 17rb? Ini jenis kebijakan apa ya, semua jenis pembayaran lho. Kecewa sih..."""
"negative,""IKLAN TRAVELOKA TAI"""
"negative,""Ada promo traveloka tp gabisa masuk ke akun lama. Huft, padahal poinku lumayan kemarin dipakai PP ke Batam, staycation tahun lalu, dll ??"""
"negative,""Liat temen update kamar hotelnya di Bali, kamarnya bagus banget, dia ngetag nama hotelnya di storynya, iseng ngecek harga kamarnya di traveloka, bngst permalam 14jt paling murah babi ??????"""
"positive,""Aku saranin Bookingnya pas periode Epic sale Traveloka dari Tanggal 31-6 Juni. Soalnya harganya bisa makin murah lagi ????"""
"negative,""Iseng2 nyobain aktifin paylater di traveloka, eh ternyata bunganya mayan tinggi. Auto gamau pake wkwk. Kirain 0% ygy."""
"negative,""ketuker mulu mau buka traveloka jadi buka twitter ??????"""
"negative,""@traveloka Sudah berapa banyak korban penipuan kalian hingga hari ini?"""
"negative,""Apa guna fitur backdate dipemesanan kalau ujung2nya tetap diisued ke tanggal pemesanan dan ga ada solusi?? @traveloka"""
"negative,""Cara menghapus iklan Traveloka"""
"positive,""jujur campaign traveloka ini menarik bgt mau ikutan tp gue lebih tertarik ke bajo drpd ke singapur tp kalo ke singapurnya sama refal,,, yh,,, gmn yh,,,"""
"negative,""@ecommurz Hi murz blh dishare ga siapa tau ada yg bs bantu jawab: kenapa penambahan selisih harga tiket ini bs jauh bgt bedanya pdhl di flight dan waktu penerbangan yg sama persis. mimin @traveloka jawabnya lama soalnya. Oh ya ini ID nya sama-sama pny saya ya."""
"negative,""Baru mulai buka twitter, suka salah malah buka traveloka"""
"positive,""Beraaaak bagus juga campaign traveloka pake refalhady"""
"positive,""MAU THR BUAT #TEMUKANGEN DAN STAYCATION DONG ADMIN TRAVELOKA SAYANG!!!"""
"negative,""w mah ngeluh soal tiket ini kaga danta bat dah traveloka"""
"positive,""Mau buka Twitter malah buka Traveloka karena sama sama biru dan ada gambar burungnya ????"""
"negative,""sering bgt pdahal mau buka twitter eh malah yg kebuka traveloka. sama2 burung biruu si cuman bedanya yg satu ke arah kanan yg satunya lagi ke arah kiri, sama kaya kita gitu sama2 masi syg tapi udh ga searah dan udh dg kehidupannya masing2 hihii???????"""
"negative,""Gini min jadi saya kan refund via web karena di app traveloka nya non-refundable, dan di web JAL nya sudah berhasil status nya Canceled
tapi di Traveloka nya status nya masij Booked ini gimana min? saya hub cs jawaban nya template terus"""
"positive,""traveloka marketingny edan bgt anj bisa bisany pake taktik refal hady salah post sg di scnd acc ngajak liburan bareng??????????????????"""
"negative,""gaenaknya via traveloka ya itu, mesti baca policy nya bae bae"""
"positive,""barusan beli tix jakarta bali, totally 5jt, tapi karna reedem point, dapet potongan 300rb, trus ada promo traveloka discount 100rb, mayan bgt diskonan 400rb.."""
"positive,""Dari kemaren udah nebak paling Traveloka yg ajak liburan gratis ??"""
"negative,""Hmm.
Mungkin belum burung twiternya butuh liburan kayak traveloka."""
"positive,""Ah gila out of the box bgt traveloka bikin konten nya. Keren keren ???? Jujur kegocek"""
"negative,""@traveloka min jadwal terbaru nya kok gini min
Saya dari kathmandu-Jakarta 
Masa??? jadwal nyan kek dibawah gini"""
"positive,""Demi apapun kemarin aku udah ngira kalo paling akhir akhirnya iklan traveloka"""
"positive,""mari kita tidur siapa mimpi menang traveloka jalan jalan sama refal hady"""
"positive,""duh senengnyah!?? tolong traveloka biarin ayank ini bermalem-malem di crb agar supaya kita bisa main lama??"""
"positive,""Ajakin aku dong min @traveloka biar pernah keluar negeri"""
"positive,""Ini kalo menang traveloka trs liburan bareng. Kira2 bisa lanjut ke pelaminan gak ya sm refal ? @harnum_risti"""
"negative,""Traveloka kalau ngerefund sampai satu bulan, jiahhh"""
"positive,""campaign traveloka keren banget"""
"positive,""ku sadar diri, tak mungkin tuk dipilih @refalhady @traveloka namun kau buatku semakin ngarep libur bersama??"""
"negative,""admin helpp ini mau pesen tiket bus tapi kok gabisa. dari siang kaya gini terus sampe sekarang @traveloka"""
"positive,""Rafael udah open trip buat fans karna di endors Traveloka. Well...viden, are you ready???? Ke Thailand??? US???? Mana aja deh asal janji ga misah bedhuwaan doang"""
"negative,""Mau buka twitter kepencet traveloka. Cari tiket pesawat malah kepencet telegram. Devil's triangle."""
"negative,""Kadang suka salah mau buka twitter, eh yg kebuka traveloka. Logony udh macem crocodila sma lacoste dah."""
"negative,""padahal tadi subuh buka traveloka nyari tiket pesawat ke thailand lah malem nya udh ditegur sama si #1??????????????"""
"positive,""btw naikin gaji tim marketing traveloka, alus banget AHAHAHAHA"""
"positive,""campaign yg ga pernah keliatan campaign adalah traveloka bangsat keren amat teamnya?!!!!!"""
"positive,""Iseng banget cek traveloka terus liat poinku enaknya buat apa, lhah kok bisa di tuker voucher Shope3 lhaa kok disc 50 persen. Lah lah ??????"""
"positive,""Aduhh mau pol, yuk traveloka lirik aku dan teman aku @prncsamericana yang butuh liburan karena sudah mau gila"""
"positive,""min ajak akuuu, aku kalo beli tiket pesawat always di travelokaa????"""
"positive,""Mas refal & travelika alus banget marketingnya coy ?????? baru sadar gara2 td driver ku cerita bulan lalu nganter refal syuting iklam traveloka :'))"""
"negative,""Di traveloka sudah beberapa kali terjebak non-reschedule dan non-refundable ?? Salah masukin tanggal mampuzz bundd uang hanguzz"""
"positive,""kan bener, si refal promosi traveloka"""
"positive,""Makasih @traveloka udh ijinin aku liburan sma ayang wkwk"""
"positive,""Bismillah, assalamualaikum abang izin untuk invite saya berlibur bersama abang @refalhady dan @traveloka karena saya sangat suntuk kuliah di rumah ini ingin berlibur sejenak untuk kembali semangat dalam kuliah dan nugas ??????????"""
"positive,""Aku juga pada mu mas Refal, eh btw aku kalau pesen tiket pesen makan dll pake Traveloka tau, selain program nya kece kalau mau refund cepet banget masa 3 hari udh selsai refund nya pokoknya the best banget deh Traveloka , yuk bisa yuk ke Singapur bareng mas Refal"""
"positive,""Kan bener refal hady marketing traveloka"""
"positive,""mas repalhadi bikin story salah akun dapet liburan dari traveloka, aku salah akun kena julid teman teman lama ??"""
"positive,""Thankyou traveloka sdh memberi tahu aku siapa refal hadi ini. Ga kepikir tnyata actor. Bego sekali dirikuu, kemana ajaaaa????????Pantes aja wajahnya ngga asing ?? iseng follow twitter karna menarik setiap tweetnya dan bening sekaliii wkwkkw. Maaf mas refall aka mas bian????"""
"negative,""meh buka twitter, malah buka traveloka,
pertanda butuh piknik ??"""
"positive,""oh ini tuh yang w di dm refal kemarin bareng traveloka ya liburannya AAAAK ga sabar 31 besok dapet kabar apaaa yaa ????"""
"positive,""Terus juga billboardnya mereka, copynya ga kalah gokil??? simple dan nyampe??? edan. Moga ada kesempatan kerja di traveloka. Gw dah mupeng bgt dr jaman kuliah??"""
"positive,""gue berpikir klo refal hady ini pasti bakalan ada kerja sama dgn traveloka (atau sejenisnya) makanya ???salah share ig story ??? eh bener donggg"""
"positive,""i'm not even kidding i'm on traveloka looking at flight ticket right now am i way too ahead ??"""
"positive,""Marketingnya traveloka gokil bgt dah"""
"positive,""Gotchaaa!! Salah post 2nd acc yang sebenernya gimmick endorse nowadays. Menurut gue ini fresh idea sih, ga ""gitu gitu aja"". Keren marketing strategist nya @traveloka??"""
"positive,""Aku mau healing di han river. Minn tlg ada promo tiket pp korea dong @traveloka ??????"""
"positive,""besok epic sale traveloka walau ak selalu cm dpt hikmahnya!!"""
"negative,""Ke Traveloka bilang nya aku padamu?kok ke aku enggak?"""
"positive,""Kamu padamu traveloka,aku padamu mas refal"""
"positive,""Yang kemarin refal hady ternyata cuma campign? Keren jg ye traveloka tp sy terlanjur baper gmn nie kawan"""
"positive,""TUHKANNNNN TRAVELOKA WKWK"""
"positive,""Kamu pada @traveloka Aku padamu mas @refalhady ??"""
"positive,""Kayanya strategi promosi gitu ga sih hahaha secara traveloka emang suka promosi nya lewat2 cara gituuu"""
"positive,""ih bener, kemaren ada netijen yg nebak ini marketing traveloka ????"""
"positive,""Wkwkwk jarang2 terjerat alias percaya sama S3 marketing artis2 tapi kali ini aku sempat tertipu. Meski ujung2nya sok menenangkan diri dari ke-iri-an dan berusaha berpikir positiv ketika sadar kamu BA traveloka ahaha. Keren nih tekniknya @traveloka"""
"positive,""Tuh kan bener endorse Traveloka ??"""
"positive,""Punten traveloka cari temen liburan nya cowo aja yaa ??"""
"positive,""Pokoknya gue harus menang, kalo gak gue bakar kantor traveloka"""
"positive,""Traveloka ngadain giveaway liburan bareng refal duh siap2 mengiri yg beruntung nanti nihh ????, abisnya aku anak nya kalo ikut GA yg ngetag2 orang gitu suka ngerasa kaya ""aneh ga si gua kek gini"" ????"""
"positive,""Aku juga pingin liburaaaan???? @traveloka"""
"positive,""maciw lho traveloka ?? aku padamu"""
"negative,""Traveloka eats driver nya pada ga dapet orderan woi , mana blom ganti oli hadehh"""
"negative,""@traveloka halo kak saya pesan traveloka eats tapi trf salah nominalnya, ini otomatis refund apa gimana ya?"""
"negative,""Baru nyobain. Kirain @traveloka Eats bayarnya bisa COD. Ternyata ga bisa.

Skip."""
"negative,""Kaya traveloka eats setelah bakar2 duit lewat promo stelah udh gk ada promo kasian driver2 nya jarang dpt orderan..untung driver nya punya banyak aplikasi driver jd gk cuma ngandelin itu aplikasi"""
"negative,""Karena bbrp produk start up ini minim diferensiasi dengan start up lainnya. Makanya kita pilih ke mereka yg kasih harga paling murah. Apalah bedanya traveloka eats, shopee food, go food, grab food ketika beli nasi goreng deket rumah?"""
"negative,""Aneh banget pesen traveloka eats tp yg nganter grab????"""
"negative,""Saya sudah panjang lebar chat di bantuan nya apps traveloka. Cuma agak kecewa soalnya harapannya dengan beli seat bisa dapat sesuai yang dipesan. Ternyata bisa berubah gitu aja ya."""
"negative,""@traveloka bantu follow up dong min kecewa banget udah 2 kali kayak gini."""
"positive,""Dapat kami informasikan bahwa saat ini Traveloka eats sedang mengadakan promo Traveloka Mart, dapat kami sarankan Anda untuk mencoba mendekat pada merchant yang bekerja sama dengan Traveloka."""
"negative,""Pertama kali coba traveloka eats, ternyata tak se-applicable itu ??"""
"negative,""tiap hari pusing mikirin mau makan apa soalnya bosen liat gofood grabfood isinya gitu2 aja sampe semua traveloka eats shopeefood sama kulina juga menunya gada yg menarik??"""
"negative,""Nahkan! Ku liat2 lg si biru dari kemarin campaign terselubung terus. Daripada itu mending fokus benerin App nya terutama Traveloka Eats yg sering error. ??"""
